fall_id,frage,antwort,referenzantwort,zwingende_aussagen,fehlerkriterien,korrektheit,notiz
F043,"Welche Tauschverhältnisse stehen mir im CATAN-Grundspiel mit dem Vorrat und an den beiden Hafenarten zur Verfügung, und welche Voraussetzung muss ich für einen Hafen erfüllen?","Im CATAN-Grundspiel kannst du mit dem Vorrat standardmäßig 4:1 tauschen, also vier gleiche Rohstoffe gegen einen beliebigen. An den Häfen gibt es zwei Arten: 3:1-Häfen, an denen du drei gleiche Rohstoffe gegen einen beliebigen tauschen kannst, und 2:1-Häfen, die auf einen bestimmten Rohstoff spezialisiert sind (z.B. Holz 2:1). Voraussetzung für die Nutzung eines Hafens ist, dass du eine deiner Siedlungen oder Städte direkt an diesem Hafenplatz gebaut hast. Nur dann kannst du die günstigeren Tauschverhältnisse des Hafens nutzen. Ohne Hafen gilt immer der 4:1-Tausch mit dem Vorrat.","Mit dem Vorrat darf ich jederzeit 4 gleiche Rohstoffkarten gegen 1 beliebige andere tauschen. An einem 3:1-Hafen tausche ich 3 gleiche Rohstoffkarten gegen 1 beliebige andere, an einem 2:1-Hafen 2 Karten der auf dem Hafen angegebenen Sorte gegen 1 beliebige andere. Einen Hafen darf ich nur nutzen, wenn ich dort eine Siedlung oder Stadt besitze.",4:1 mit dem Vorrat | 3:1-Hafen: 3 gleiche Rohstoffe | 2:1-Hafen nur für die angegebene Sorte | Siedlung oder Stadt am Hafenstandort nötig,"abweichendes Tauschverhältnis | 2:1-Hafen gilt angeblich für jede Rohstoffsorte | Hafen ohne eigenes Bauwerk nutzbar | Handelswaren erwähnt, die es im Grundspiel nicht gibt",2,
F044,"Bei CATAN – Städte & Ritter spiele ich „Handelsflotte“ und lege Papier als Sorte fest. Ich besitze fünf Papier und zwei Wolle; andere Tauschmöglichkeiten nutze ich nicht, der Vorrat ist ausreichend. Wie viel Erz kann ich darüber höchstens erhalten, und welche meiner Karten bleiben übrig?","Du kannst maximal 2 Erz erhalten. Begründung: Mit „Handelsflotte“ darfst du beliebig oft im Verhältnis 2:1 tauschen, aber immer nur mit derselben Rohstoff- oder Handelswarensorte, hier Papier. Du hast 5 Papier, also kannst du zweimal 2 Papier gegen 1 Erz tauschen (2x2=4 Papier), das fünfte Papier bleibt übrig. Wolle wird nicht getauscht. Nach dem Tausch hast du 1 Papier und 2 Wolle übrig, und erhältst 2 Erz.","Ich tausche zweimal 2 Papier gegen 1 Erz und erhalte 2 Erz. Übrig bleiben 1 Papier und 2 Wolle: Die Wolle darf über dieselbe Handelsflotte nicht getauscht werden, weil ich Papier als Sorte festgelegt habe, und Kombinationen sind nicht erlaubt.","2 Erz | 1 Papier und 2 Wolle bleiben | nur die festgelegte Sorte, keine Kombination",Wolle wird über dieselbe Karte mitgetauscht | Papier und Wolle werden kombiniert | falsche Anzahl Erz oder falscher Rest,2,
F051,"Welche Tauschverhältnisse stehen mir im CATAN-Grundspiel mit dem Vorrat und an den beiden Hafenarten zur Verfügung, und welche Voraussetzung muss ich für einen Hafen erfüllen?","Du kannst im CATAN-Grundspiel mit dem Vorrat immer 4 gleiche Rohstoffkarten gegen 1 beliebige andere tauschen (4:1). An einem 3:1-Hafen kannst du 3 gleiche Rohstoffkarten gegen 1 beliebige andere tauschen (3:1). An einem 2:1-Hafen tauscht du 2 gleiche Rohstoffkarten der auf dem Hafen angegebenen Sorte gegen 1 beliebige andere (2:1). Voraussetzung für den Hafenhandel ist, dass du eine Siedlung oder Stadt an dem Hafenstandort besitzt. Nur dann darfst du die günstigeren Tauschverhältnisse der Häfen nutzen.","Mit dem Vorrat darf ich jederzeit 4 gleiche Rohstoffkarten gegen 1 beliebige andere tauschen. An einem 3:1-Hafen tausche ich 3 gleiche Rohstoffkarten gegen 1 beliebige andere, an einem 2:1-Hafen 2 Karten der auf dem Hafen angegebenen Sorte gegen 1 beliebige andere. Einen Hafen darf ich nur nutzen, wenn ich dort eine Siedlung oder Stadt besitze.",4:1 mit dem Vorrat | 3:1-Hafen: 3 gleiche Rohstoffe | 2:1-Hafen nur für die angegebene Sorte | Siedlung oder Stadt am Hafenstandort nötig,"abweichendes Tauschverhältnis | 2:1-Hafen gilt angeblich für jede Rohstoffsorte | Hafen ohne eigenes Bauwerk nutzbar | Handelswaren erwähnt, die es im Grundspiel nicht gibt",2,
F054,"Bei CATAN – Städte & Ritter setze ich vor meinem Würfelwurf die Fortschrittskarte „Alchemie“ ein. Welche Würfelergebnisse darf ich damit selbst bestimmen, welchen Würfel muss ich weiterhin werfen, und was wird zuerst ausgeführt?","Du darfst mit der Fortschrittskarte „Alchemie“ die Ergebnisse beider Augenwürfel (2–12) selbst bestimmen, also auch eine 7 wählen. Den Ereigniswürfel musst du weiterhin normal würfeln. Zuerst wird das Ereignis des Ereigniswürfels ausgeführt, danach erhalten alle Spieler Rohstoffe entsprechend der von dir bestimmten Augenzahl. Die Karte darfst du nur vor dem Würfeln der Augenwürfel ausspielen, nicht danach.","Ich bestimme die Ergebnisse der beiden Augenwürfel selbst. Den Ereigniswürfel werfe ich weiterhin wie üblich, und sein Ereignis wird zuerst ausgeführt; erst danach gibt es die Erträge für die bestimmte Augenzahl.",beide Augenwürfel werden selbst bestimmt | Ereigniswürfel wird weiterhin geworfen | das Ereignis wird zuerst ausgeführt,auch der Ereigniswürfel darf bestimmt werden | Ertrag wird vor dem Ereignis abgehandelt | nur ein Augenwürfel darf bestimmt werden,2,
F057,"Bei CATAN – Städte & Ritter steht mein Händler auf einem Waldfeld, auf dem auch der Räuber steht. Ich möchte zwei Holz gegen ein Erz tauschen. Ist dieser Tausch möglich, und warum?","Ja, der Tausch ist möglich. Begründung: Laut Regel darf mit dem Händler auch dann im Verhältnis 2:1 getauscht werden, wenn der Räuber auf demselben Landschaftsfeld steht. Der Händler ermöglicht den 2:1-Tausch der Rohstoffe des Landschaftsfelds, auf dem er steht, unabhängig von der Anwesenheit des Räubers.","Ja. Solange der Händler auf dem Waldfeld steht, darf ich dessen Rohstoff Holz im Verhältnis 2:1 tauschen. Der Räuber auf demselben Feld verhindert den Handel mit dem Händler nicht.","Ja, der Tausch ist möglich | der Räuber hindert den Händler nicht",Tausch wegen des Räubers verweigert | anderes Tauschverhältnis als 2:1 genannt | Händler müsse erst versetzt werden,2,
F058,"Bei CATAN – Städte & Ritter habe ich in meinem eigenen Zug zwölf Siegpunkte, eine ausbaufähige Siedlung, zwei Erz und ein Getreide, und ich spiele „Medizin“. Eine Stadtfigur ist verfügbar. Wie viele Siegpunkte habe ich nach dem Stadtbau, und endet das Spiel dadurch?","Du hast nach dem Stadtbau 13 Siegpunkte. Begründung: Eine Stadt statt einer Siedlung bringt dir einen zusätzlichen Siegpunkt, also +1 Punkt. Du hattest 12 Punkte, baust eine Stadt und kommst auf 13. Das Spiel endet sofort, wenn ein Spieler 13 oder mehr Siegpunkte erreicht. Da du jetzt 13 Punkte hast, endet das Spiel in deinem Zug.","Mit Medizin baue ich die Siedlung für 2 Erz und 1 Getreide zur Stadt aus. Die Siedlung zählte 1 Siegpunkt, die Stadt zählt 2, ich gewinne also genau 1 Punkt hinzu und stehe bei 13. Da ich an der Reihe bin, gewinne ich, und das Spiel endet.","13 Siegpunkte | Zugewinn von genau 1 Punkt, nicht 2 | Spiel endet, ich gewinne","14 Siegpunkte, weil die Stadt voll gezählt wird | Schwelle 10 statt 13 (Grundspielregel übernommen) | Sieg wird verneint, obwohl 13 erreicht sind",2,
F062,"Bei CATAN – Städte & Ritter spiele ich nach dem Würfeln „Spionage“ und nehme Anna eine weitere Spionage-Karte ab. Ben besitzt die offene Siegpunktkarte „Buchdruck“ und eine verdeckte „Medizin“. Wie komme ich mit der genommenen Karte noch in diesem Zug an Bens Medizin, und könnte ich stattdessen Buchdruck nehmen?","Du kannst mit der genommenen Spionage-Karte sofort eine weitere Spionage-Aktion ausführen und so Bens verdeckte „Medizin“ stehlen. Das ist erlaubt, da in steht, dass man eine gestohlene Spionage-Karte sofort einsetzen darf. Die offene Siegpunktkarte „Buchdruck“ darf nicht gestohlen werden, daher kannst du diese nicht nehmen. Somit nimmst du zuerst Annas Spionage-Karte, setzt sie sofort ein, um Bens „Medizin“ zu stehlen, aber „Buchdruck“ bleibt unangetastet.","Ich darf die gerade genommene Spionage sofort ausspielen und damit Bens Medizin nehmen. Buchdruck darf ich nicht nehmen, weil Siegpunktkarten von Spionage ausgenommen sind.","gestohlene Spionage darf sofort eingesetzt werden | Medizin darf genommen werden | Buchdruck nicht, weil Siegpunktkarte",sofortiger Einsatz wird verneint | Siegpunktkarte darf genommen werden | Begrenzung auf eine Fortschrittskarte je Zug behauptet,2,
F063,"Bei CATAN – Städte & Ritter steht mein Händler auf einem Waldfeld, auf dem auch der Räuber steht. Ich möchte zwei Holz gegen ein Erz tauschen. Ist dieser Tausch möglich, und warum?","Der Tausch ist nicht möglich. In Städte & Ritter blockiert der Räuber das betroffene Rohstofffeld vollständig, sodass keine Rohstoffe von diesem Feld genommen oder gehandelt werden können. Da dein Händler auf dem Waldfeld mit Räuber steht, kannst du kein Holz von dort erhalten und somit auch keinen Tausch mit diesem Rohstoff durchführen.","Ja. Solange der Händler auf dem Waldfeld steht, darf ich dessen Rohstoff Holz im Verhältnis 2:1 tauschen. Der Räuber auf demselben Feld verhindert den Handel mit dem Händler nicht.","Ja, der Tausch ist möglich | der Räuber hindert den Händler nicht",Tausch wegen des Räubers verweigert | anderes Tauschverhältnis als 2:1 genannt | Händler müsse erst versetzt werden,0,
F066,Bei CATAN – Städte & Ritter erreiche ich in meinem eigenen Zug zehn Siegpunkte. Aus dem Grundspiel kenne ich diesen Wert als Siegbedingung. Wie viele Siegpunkte fehlen mir in dieser Partie noch zum Sieg?,"Du benötigst in CATAN – Städte & Ritter 13 Siegpunkte zum Sieg. Begründung: Laut ist das Ziel, als erster 13 Siegpunkte zu erreichen. Die 10 Siegpunkte aus dem Grundspiel reichen hier nicht aus, da die Erweiterung mehr Siegpunkte erfordert.","Drei Siegpunkte. Bei Städte & Ritter gewinnt, wer zuerst 13 Siegpunkte erreicht, und zwar wenn er selbst an der Reihe ist.",noch 3 Siegpunkte | 13 Siegpunkte sind nötig,10 Siegpunkte genügen (Grundspielregel übernommen) | andere Schwelle als 13 genannt,1,
F077,"Bei CATAN – Städte & Ritter setze ich vor meinem Würfelwurf die Fortschrittskarte „Alchemie“ ein. Welche Würfelergebnisse darf ich damit selbst bestimmen, welchen Würfel muss ich weiterhin werfen, und was wird zuerst ausgeführt?","Du darfst mit der Fortschrittskarte „Alchemie“ vor deinem Würfelwurf die Ergebnisse beider Augenwürfel (also der zwei normalen Würfel) selbst bestimmen, auch eine „7“ ist möglich. Den Ereigniswürfel (roter Würfel) musst du weiterhin würfeln. Zuerst wird das Ereignis des Ereigniswürfels ausgeführt, danach erhalten alle Spieler die Rohstoffe entsprechend der von dir bestimmten Augenzahl der beiden Augenwürfel. Die Karte „Alchemie“ darf nur vor dem Würfeln ausgespielt werden.","Ich bestimme die Ergebnisse der beiden Augenwürfel selbst. Den Ereigniswürfel werfe ich weiterhin wie üblich, und sein Ereignis wird zuerst ausgeführt; erst danach gibt es die Erträge für die bestimmte Augenzahl.",beide Augenwürfel werden selbst bestimmt | Ereigniswürfel wird weiterhin geworfen | das Ereignis wird zuerst ausgeführt,auch der Ereigniswürfel darf bestimmt werden | Ertrag wird vor dem Ereignis abgehandelt | nur ein Augenwürfel darf bestimmt werden,1,
F078,"Welche Tauschverhältnisse stehen mir im CATAN-Grundspiel mit dem Vorrat und an den beiden Hafenarten zur Verfügung, und welche Voraussetzung muss ich für einen Hafen erfüllen?","Du kannst im CATAN-Grundspiel folgende Tauschverhältnisse nutzen: 4:1 mit dem Vorrat, 3:1 an einem 3:1-Hafen und 2:1 an einem 2:1-Hafen. Voraussetzung für den Hafenhandel ist, dass du eine Siedlung oder Stadt direkt an dem Hafenstandort besitzt. Das bedeutet, du musst an einem Hafenfeld angrenzen, um die günstigeren Tauschverhältnisse nutzen zu dürfen. Ohne Hafen gilt immer der 4:1-Tausch mit dem Vorrat. Die 3:1-Häfen erlauben den Tausch von 3 gleichen Rohstoffkarten gegen 1 beliebige andere. Die 2:1-Häfen sind auf eine bestimmte Rohstoffart beschränkt, die auf dem Hafen angegeben ist. So kannst du 2 gleiche Rohstoffkarten dieser Sorte gegen 1 andere tauschen.","Mit dem Vorrat darf ich jederzeit 4 gleiche Rohstoffkarten gegen 1 beliebige andere tauschen. An einem 3:1-Hafen tausche ich 3 gleiche Rohstoffkarten gegen 1 beliebige andere, an einem 2:1-Hafen 2 Karten der auf dem Hafen angegebenen Sorte gegen 1 beliebige andere. Einen Hafen darf ich nur nutzen, wenn ich dort eine Siedlung oder Stadt besitze.",4:1 mit dem Vorrat | 3:1-Hafen: 3 gleiche Rohstoffe | 2:1-Hafen nur für die angegebene Sorte | Siedlung oder Stadt am Hafenstandort nötig,"abweichendes Tauschverhältnis | 2:1-Hafen gilt angeblich für jede Rohstoffsorte | Hafen ohne eigenes Bauwerk nutzbar | Handelswaren erwähnt, die es im Grundspiel nicht gibt",2,
